iter	RMSE
158	0.4457203606
159	0.4432339647
160	0.4409814177
161	0.4384071584
162	0.4360305163
163	0.4336532619
164	0.4309195449
165	0.4285165133
166	0.4255261069
167	0.4233778338
168	0.4215774872
169	0.4194346107
170	0.4174291503
171	0.4147991458
172	0.4130826751
173	0.4114162184
174	0.4095402369
175	0.4077170855
176	0.4059537299
177	0.4043580409
178	0.4031025335
179	0.4012894101
180	0.3996994031
181	0.3980038118
182	0.3965504818
183	0.3949948104
184	0.3934648868
185	0.3916425872
186	0.3906595872
187	0.3893380361
188	0.3877116001
189	0.3862319673
190	0.3849027003
191	0.3835886641
192	0.3826812974
193	0.3797397415
194	0.3771200315
195	0.3758454665
196	0.3735963652
197	0.3719070175
198	0.3708714692
199	0.3698251946
200	0.3688866218
201	0.3678698141
202	0.3667154972
203	0.3655350039
204	0.364459283
205	0.3631694969
206	0.3614435996
207	0.3606674048
208	0.3597348375
209	0.3588808358
210	0.3582407782
211	0.3565296943
212	0.354786488
213	0.3521737008
214	0.3507370411
215	0.3484311175
216	0.3467889052
217	0.3459551352
218	0.345239432
219	0.3434938336
220	0.3423159375
221	0.340520601
222	0.3386353745
223	0.3372891284
224	0.335600064
225	0.3340084131
226	0.3331856516
227	0.332311209
228	0.3312472061
229	0.3304272747
230	0.3292426287
231	0.3286770235
232	0.3266759272
233	0.3247622602
234	0.3241532281
235	0.3231619014
236	0.3224802949
237	0.3215681718
238	0.3199563993
239	0.3193427773
240	0.3182419209
241	0.3164526805
242	0.3147503784
243	0.3127566348
244	0.3112892717
245	0.3102529812
246	0.3096104427
247	0.3089739001
248	0.3079613586
249	0.306391658
250	0.3058977758
251	0.3050682314
252	0.3043750348
253	0.3031423749
254	0.3014765477
255	0.3007519677
256	0.2993071382
257	0.2978234035
258	0.2972827798
259	0.2961016303
260	0.2955687496
261	0.2945964329
262	0.2941253416
263	0.293142562
264	0.2922608701
265	0.2917669902
266	0.2906554779
267	0.2892735232
268	0.2888694433
269	0.288541054
270	0.2875819214
271	0.2870119729
272	0.2864846349
273	0.2860443485
274	0.2850385127
275	0.2843104987
276	0.2838942589
277	0.2828637882
278	0.2815855739
279	0.2806138739
280	0.2802241576
281	0.2792977909
282	0.2785043514
283	0.2774066199
284	0.2763286783
285	0.2751385004
286	0.2741431277
287	0.2732178466
288	0.2724866165
289	0.2711704242
290	0.270816773
291	0.2700495667
292	0.2691062581
293	0.2682692058
294	0.2677313783
295	0.2665792843
296	0.2653173656
297	0.2641530774
298	0.2630710034
299	0.2621800431
300	0.2613650237
301	0.2607947264
302	0.25970807
303	0.2589083004
304	0.2580402548
305	0.2571043674
306	0.2566442374
307	0.2555786957
308	0.2547149251
309	0.2535727156
310	0.2527542115
311	0.2519127535
312	0.2515048773
313	0.2512909549
314	0.2507109948
315	0.2500204047
316	0.2492540284
317	0.2483921345
318	0.2480798855
319	0.2471941614
320	0.2462912965
321	0.2455752648
322	0.245234221
323	0.244729523
324	0.2444207779
325	0.2440481231
326	0.2437020807
327	0.2428922799
328	0.242240503
329	0.2417238189
330	0.2408922921
331	0.2402891443
332	0.2396314287
333	0.2392817222
334	0.2387715502
335	0.2379161202
336	0.2373395323
337	0.2366293002
338	0.235800992
339	0.2352691813
340	0.2349954983
341	0.2348412016
342	0.234525559
343	0.2342595754
344	0.2339453819
345	0.2329867111
346	0.2323590829
347	0.2315143337
348	0.2311602957
349	0.2302893035
350	0.2300842933
351	0.2294910185
352	0.2291527878
353	0.2285644781
354	0.2278734705
355	0.2272951987
356	0.2265735489
357	0.2257784828
358	0.2249503855
359	0.2245529585
360	0.2243992086
361	0.2237578806
362	0.2229047886
363	0.2223128002
364	0.2217397639
365	0.2210204478
366	0.2207963589
367	0.2200572338
368	0.2194949256
369	0.2190697923
370	0.2184235987
371	0.2178029714
372	0.2175847445
373	0.2168581679
374	0.2162994915
375	0.2157263111
376	0.2152359
377	0.2147739905
378	0.2141746571
379	0.213985768
380	0.2134090302
381	0.2132081578
382	0.2126532044
383	0.2119506256
384	0.2113310827
385	0.2110927106
386	0.2109407148
387	0.2107936842
388	0.2102454522
389	0.2098358528
390	0.2091014195
391	0.2085104168
392	0.2080507986
393	0.2079063039
394	0.2073068223
395	0.2068680959
396	0.2063675841
397	0.205775794
398	0.2053029342
399	0.2051883423
400	0.204733201
401	0.2041251132
402	0.2034947483
403	0.2033122623
404	0.202808069
405	0.2021814253
406	0.2019331471
407	0.2013464224
408	0.2011063212
409	0.200543371
410	0.2000299632
411	0.1996320966
412	0.19909579
413	0.1988610146
414	0.1986603839
415	0.1983616746
416	0.1981390798
417	0.1977328557
418	0.1971458558
419	0.1968583436
420	0.1963921346
421	0.1959412319
422	0.1958515231
423	0.1953139952
424	0.1948166474
425	0.194366826
426	0.1938716118
427	0.1934778767
428	0.1927739313
429	0.192366045
430	0.192086755
431	0.1916379966
432	0.1911926526
433	0.1908158772
434	0.190321255
435	0.189898839
436	0.1893673089
437	0.1888909333
438	0.1885781033
439	0.18800361
440	0.1876430342
441	0.187136569
442	0.1866446671
443	0.1863059277
444	0.1858109689
445	0.1854849132
446	0.1851105082
447	0.1847175844
448	0.1844791047
449	0.1841229806
450	0.183756476
451	0.1833282786
452	0.1828684783
453	0.1827601227
454	0.1824653023
455	0.1821408764
456	0.1820097994
457	0.1815297817
458	0.1814272569
459	0.1812290563
460	0.1808508556
461	0.1804756747
462	0.1804354256
463	0.1803646503
464	0.1798532571
465	0.1795685211
466	0.1790672749
467	0.1787463875
468	0.1787021693
469	0.1782876398
470	0.1777441009
471	0.1773887145
472	0.1771275711
473	0.1766444181
474	0.1763151972
475	0.1761213137
476	0.1757531703
477	0.175713016
478	0.1752605879
479	0.1751979187
480	0.174812405
481	0.174397256
482	0.1741155855
483	0.1736214986
484	0.1735179657
485	0.1731329064
486	0.1727801174
487	0.1725653044
488	0.1723331113
489	0.1721882107
490	0.1719059609
491	0.1718452864
492	0.1714507562
493	0.1712755911
494	0.1708825324
495	0.1705970019
496	0.1703753007
497	0.1703397533
498	0.1700940851
499	0.1698325747
500	0.1694595225
501	0.1691256961
502	0.168968266
503	0.1686270798
504	0.1684041983
505	0.1680567201
506	0.1677264516
507	0.1674133376
508	0.1671464497
509	0.1668196529
510	0.1666107173
511	0.1665804155
512	0.1662279127
513	0.166200203
514	0.1658960116
515	0.165567966
516	0.1655108771
517	0.1652782532
518	0.1649322484
519	0.1646649119
520	0.1646343954
521	0.1646018802
522	0.1642476984
523	0.1638495611
524	0.1634361779
525	0.1631078492
526	0.1628565188
527	0.1628290224
528	0.1625665553
529	0.1622952145
530	0.1620228288
531	0.1618460604
532	0.1614881794
533	0.1614139543
534	0.1613862384
535	0.1610300587
536	0.1610026476
537	0.16097898
538	0.1604579668
539	0.1604327193
540	0.1600375905
541	0.1597535158
542	0.1597253412
543	0.1594161242
544	0.1590771317
545	0.1588064182
546	0.1585510077
547	0.1580706063
548	0.1577257037
549	0.1574786567
550	0.1573470278
551	0.1570411585
552	0.1570170556
553	0.1566632183
554	0.1562964705
555	0.1560115131
556	0.1556990721
557	0.1556759097
558	0.1556458344
559	0.1556205128
560	0.1553541189
561	0.1553324418
562	0.155033419
563	0.1550120187
564	0.1546033586
565	0.1543293673
566	0.1538945427
567	0.1538716366
568	0.1536025385
569	0.1533120261
570	0.152916719
571	0.1526457526
572	0.1524686887
573	0.1521989519
574	0.1517926702
575	0.1514572088
576	0.1512670703
577	0.1512467279
578	0.1508854469
579	0.1505626125
580	0.1502370973
581	0.1499522548
582	0.1496714688
583	0.1495948682
584	0.1493105257
585	0.1490241828
586	0.1486047675
587	0.1485841101
588	0.1482848845
589	0.1480078932
590	0.1477668172
591	0.1477476729
592	0.1477280631
593	0.1477017594
594	0.147294917
595	0.1470864043
596	0.1468739879
597	0.146629898
598	0.1465723125
599	0.1465533477
600	0.1463845419
601	0.1460109605
602	0.1457884544
603	0.1454477931
604	0.1452133139
605	0.1449698147
606	0.1446951407
607	0.1444536523
608	0.1440632637
609	0.1438332819
610	0.1437677943
611	0.1433399203
612	0.1432067019
613	0.1428299934
614	0.1426092172
615	0.1423954314
616	0.1420508416
617	0.1417561413
618	0.1416676077
619	0.1413509865
620	0.1411545751
621	0.1411369169
622	0.1409761225
623	0.1407093655
624	0.1404500436
625	0.1402544022
626	0.1401284012
627	0.1398785892
628	0.1397111971
629	0.1395918416
630	0.1392840584
631	0.1391417041
632	0.1388276882
633	0.1385541262
634	0.1382938115
635	0.1380251551
636	0.1378295557
637	0.137530649
638	0.1372814976
639	0.1371465039
640	0.1370099231
641	0.136740716
642	0.1365181126
643	0.1365029806
644	0.1362888758
645	0.1361346654
646	0.1358905873
647	0.1356523346
648	0.1354431789
649	0.1352975415
650	0.1350285208
651	0.13468957
652	0.1344078099
653	0.1342260479
654	0.1339955099
655	0.1337910917
656	0.1336443164
657	0.1334007492
658	0.1331034661
659	0.1328850991
660	0.132704377
661	0.1324488233
662	0.1322342477
663	0.1321804847
664	0.1319007356
665	0.1318877406
666	0.1315684816
667	0.1313618828
668	0.131347041
669	0.1311236266
670	0.1310429025
671	0.1308474461
672	0.1306615939
673	0.1305113968
674	0.1303711834
675	0.1301209395
676	0.1298935392
677	0.1298794397
678	0.129587245
679	0.1294179543
680	0.1292064554
681	0.1290552427
682	0.1289910465
683	0.1287681125
684	0.1285451624
685	0.1282994747
686	0.1281235216
687	0.1277808087
688	0.1275299392
689	0.1273718604
690	0.1271331473
691	0.1269541008
692	0.1266796129
693	0.1264453578
694	0.1260712642
695	0.12586729
696	0.1255350803
697	0.1252119246
698	0.125068138
699	0.1248645065
700	0.1246574735
701	0.1245067583
702	0.1242186302
703	0.1240134944
704	0.1238155207
705	0.1236213998
706	0.1234647776
707	0.123252703
708	0.1230712918
709	0.1229133302
710	0.1226588424
711	0.1225099359
712	0.1224506622
713	0.1222730666
714	0.1221526034
715	0.1220233018
716	0.1218046808
717	0.1216704289
718	0.121657814
719	0.1214624356
720	0.1213717795
721	0.1212580857
722	0.121241703
723	0.1211088084
724	0.1210285242
725	0.1209802898
726	0.120763073
727	0.1206388395
728	0.120548737
729	0.120372924
730	0.1203633352
731	0.1202339256
732	0.1201502962
733	0.1198562701
734	0.1197481627
735	0.1195415883
736	0.1193814703
737	0.1191786696
738	0.1189520289
739	0.1186616634
740	0.1185670776
741	0.1184967017
742	0.1184326347
743	0.1182990816
744	0.118046465
745	0.1178318044
746	0.1176775665
747	0.1176661208
748	0.117464493
749	0.1172461952
750	0.1170259783
751	0.1167642957
752	0.1165421893
753	0.1163160585
754	0.1162410737
755	0.1160727722
756	0.1159614296
757	0.1156710598
758	0.1156035947
759	0.115410768
760	0.1151811231
761	0.1149452162
762	0.1148349087
763	0.1146393349
764	0.11453935
765	0.1144944074
766	0.1143419301
767	0.1141181637
768	0.1139349574
769	0.113731908
770	0.1136014676
771	0.1134661587
772	0.11333755
773	0.1130839144
774	0.1129071798
775	0.1127175502
776	0.1126057091
777	0.1123749615
778	0.1121962196
779	0.1119469359
780	0.1118555116
781	0.1115657463
782	0.1114109773
783	0.1112784216
784	0.1110479391
785	0.1107967367
786	0.1106773341
787	0.1105089901
788	0.1102720412
789	0.1101241724
790	0.1100942702
791	0.1099377866
792	0.1097789552
793	0.1096474632
794	0.1094653759
795	0.1092168565
796	0.1091061258
797	0.1088774784
798	0.1087357998
799	0.1087264643
800	0.1084928539
801	0.1083334746
802	0.1080978713
803	0.1079446616
804	0.1078590631
805	0.107654867
806	0.1074914843
807	0.1073389584
808	0.1071066822
809	0.1069610638
810	0.1067948093
811	0.1066012527
812	0.106339524
813	0.1061974483
814	0.106051646
815	0.1059178368
816	0.1058215407
817	0.1057920969
818	0.1056900601
819	0.105503963
820	0.1054218796
821	0.10526003
822	0.1051272153
823	0.1049027626
824	0.1048071113
825	0.1046532878
826	0.1044854775
827	0.1042492906
828	0.1040366676
829	0.1038327936
830	0.103653898
831	0.103520014
832	0.1033861518
833	0.1032933907
834	0.1031410115
835	0.1029629448
836	0.1029537197
837	0.1028488514
838	0.1026657625
839	0.102527731
840	0.1023685035
841	0.1021521187
842	0.1020344759
843	0.1018853023
844	0.1016785309
845	0.1015306576
846	0.1013389336
847	0.1011317079
848	0.1009956522
849	0.1008985305
850	0.1008881086
851	0.10067949
852	0.1005335899
853	0.100369423
854	0.1001388707
855	0.09995122492
856	0.09994230824
857	0.0997949073
858	0.09958544822
859	0.09946905154
860	0.09938525568
861	0.09924270252
862	0.09903581439
863	0.09893656485
864	0.0987219877
865	0.09858651982
866	0.09846790482
867	0.098289656
868	0.09816672133
869	0.09808984297
870	0.09795104378
871	0.0977833181
872	0.09765715256
873	0.09748403317
874	0.09729515366
875	0.09714613956
876	0.09702159283
877	0.09700030649
878	0.09682775451
879	0.09667815887
880	0.09659152502
881	0.0964200729
882	0.09623045145
883	0.09614627626
884	0.09614081971
885	0.09606618377
886	0.09585748396
887	0.09567232179
888	0.09554443121
889	0.09546631186
890	0.09527934567
891	0.09517691491
892	0.09508556531
893	0.09504281757
894	0.09491316609
895	0.09490526242
896	0.09474436716
897	0.09460208781
898	0.0944786337
899	0.09433976764
900	0.09425941112
901	0.09422733145
902	0.09401347169
903	0.09393443972
904	0.09372566795
905	0.09363833578
906	0.09363137485
907	0.09346040473
908	0.09330852736
909	0.09318597133
910	0.0930763759
911	0.09292619498
912	0.09273921559
913	0.09267578799
914	0.09252515972
915	0.09246765592
916	0.09233280451
917	0.09220433214
918	0.09214942684
919	0.09208722558
920	0.09197315923
921	0.09189406849
922	0.09176720476
923	0.09165492965
924	0.09158963711
925	0.09149213943
926	0.09140654196
927	0.09124058603
928	0.09107372732
929	0.09100369223
930	0.09097275749
931	0.09088894571
932	0.09080616447
933	0.09067763817
934	0.09057395268
935	0.09043655912
936	0.09027980406
937	0.09012224623
938	0.08999390867
939	0.08992157073
940	0.08978226714
941	0.08967091283
942	0.08952651642
943	0.08940866589
944	0.08928713068
945	0.08920754471
946	0.08911242593
947	0.08898250839
948	0.08888440202
949	0.0887178794
950	0.08863102055
951	0.08855234701
952	0.0884570007
953	0.08832128536
954	0.08825193706
955	0.08816292312
956	0.08799937202
957	0.08796914361
958	0.08778266542
959	0.08765237228
960	0.08750411785
961	0.08746423236
962	0.08738462231
963	0.08729814415
964	0.08721635851
965	0.08712254882
966	0.08702338201
967	0.0868469308
968	0.08675462865
969	0.08664626943
970	0.08656311783
971	0.08655725417
972	0.08644634645
973	0.08643542544
974	0.08631422247
975	0.08618589498
976	0.08610135609
977	0.08598653124
978	0.08591770813
979	0.08585248245
980	0.08572482199
981	0.08560751835
982	0.08549848883
983	0.08540859625
984	0.08525071725
985	0.08507569464
986	0.08505338851
987	0.08492356315
988	0.08477459836
989	0.08477015137
990	0.08466022876
991	0.08456652148
992	0.0844484014
993	0.08440827825
994	0.08426199683
995	0.08413304933
996	0.08399134269
997	0.08392182423
998	0.08377722561
999	0.08369948079
